domain,type
126.com,personal
163.com,personal
aim.com,personal
alice.it,personal
aol.com,personal
att.net,personal
bellsouth.net,personal
bigpond.com,personal
bk.ru,personal
bol.com.br,personal
btinternet.com,personal
charter.net,personal
comcast.net,personal
cox.net,personal
daum.net,personal
duck.com,personal
earthlink.net,personal
email.com,personal
fastmail.com,personal
fastmail.fm,personal
foxmail.com,personal
free.fr,personal
freenet.de,personal
gmail.com,personal
gmx.at,personal
gmx.ch,personal
gmx.com,personal
gmx.de,personal
gmx.net,personal
googlemail.com,personal
hanmail.net,personal
hey.com,personal
hotmail.co.uk,personal
hotmail.com,personal
hotmail.de,personal
hotmail.es,personal
hotmail.fr,personal
hotmail.it,personal
hushmail.com,personal
icloud.com,personal
inbox.ru,personal
interia.pl,personal
laposte.net,personal
libero.it,personal
list.ru,personal
live.co.uk,personal
live.com,personal
live.fr,personal
mac.com,personal
mail.com,personal
mail.ru,personal
mailfence.com,personal
me.com,personal
msn.com,personal
naver.com,personal
o2.pl,personal
onet.pl,personal
optusnet.com.au,personal
orange.fr,personal
outlook.com,personal
passport.com,personal
pm.me,personal
posteo.de,personal
proton.me,personal
protonmail.ch,personal
protonmail.com,personal
qq.com,personal
rambler.ru,personal
rediffmail.com,personal
rocketmail.com,personal
rogers.com,personal
sbcglobal.net,personal
seznam.cz,personal
sfr.fr,personal
shaw.ca,personal
sina.com,personal
skiff.com,personal
sky.com,personal
sohu.com,personal
sympatico.ca,personal
t-online.de,personal
terra.com.br,personal
tiscali.it,personal
tuta.io,personal
tutanota.com,personal
uol.com.br,personal
usa.com,personal
verizon.net,personal
virgilio.it,personal
virginmedia.com,personal
wanadoo.fr,personal
web.de,personal
wp.pl,personal
yahoo.co.in,personal
yahoo.co.jp,personal
yahoo.co.uk,personal
yahoo.com,personal
yahoo.com.br,personal
yahoo.de,personal
yahoo.es,personal
yahoo.fr,personal
yahoo.it,personal
yandex.com,personal
yandex.ru,personal
yeah.net,personal
ymail.com,personal
zoho.com,personal
zohomail.com,personal
0-mail.com,disposable
0-mailer.dynv6.net,disposable
000-webmail.myhome-server.de,disposable
000000000000000.theworkpc.com,disposable
000000000000000000.dynv6.net,disposable
000webmail.ddnss.de,disposable
000webmail.ddnss.org,disposable
000webmail.dyn-ip24.de,disposable
000webmail.dyn.ddnss.de,disposable
000webmail.dyn.home-webserver.de,disposable
000webmail.dyndns.ddnss.de,disposable
000webmail.dyndns1.de,disposable
000webmail.home-webserver.de,disposable
00jac.com,disposable
01022.hk,disposable
010530.xyz,disposable
01130.hk,disposable
020307.xyz,disposable
027168.com,disposable
045692.xyz,disposable
062e.com,disposable
0815.ru,disposable
0815.su,disposable
0845.ru,disposable
092088.xyz,disposable
0box.eu,disposable
0cd.cn,disposable
0clickemail.com,disposable
0cpub2.tech,disposable
0n0ff.net,disposable
0nelce.com,disposable
0rg.fr,disposable
0v.ro,disposable
0w.ro,disposable
0wnd.net,disposable
0wnd.org,disposable
0x207.info,disposable
1-8.biz,disposable
1-mintue-mail.ddnsgeek.com,disposable
1-second-mail.site,disposable
1-tm.com,disposable
10-minute-mail.com,disposable
1000acres.co.uk,disposable
1000rebates.stream,disposable
100likers.com,disposable
102.io.vn,disposable
103.ink,disposable
105kg.ru,disposable
10dk.email,disposable
10inbox.online,disposable
10mail.com,disposable
10mail.org,disposable
10mail.tk,disposable
10mail.xyz,disposable
10min.email,disposable
10minemail.com,disposable
10minmail.de,disposable
10minmail.org,disposable
10minut.com.pl,disposable
10minut.xyz,disposable
10minute.email,disposable
10minutemail.be,disposable
10minutemail.cf,disposable
10minutemail.co.uk,disposable
10minutemail.co.za,disposable
10minutemail.com,disposable
10minutemail.de,disposable
10minutemail.ga,disposable
10minutemail.gq,disposable
10minutemail.ml,disposable
10minutemail.net,disposable
10minutemail.nl,disposable
10minutemail.pro,disposable
10minutemail.us,disposable
10minutemailbox.com,disposable
10minutemails.in,disposable
10minutenemail.de,disposable
10minutenmail.xyz,disposable
10minutesmail.com,disposable
10minutesmail.fr,disposable
10minutmail.pl,disposable
10x9.com,disposable
1111111111111.dynv6.net,disposable
11163.com,disposable
11166666.xyz,disposable
114514279.xyz,disposable
115yu.cc.cd,disposable
123-m.com,disposable
12312312312.cfd,disposable
123312.cc.cd,disposable
1234211.xyz,disposable
123456789.life,disposable
123clone.com,disposable
123mails.org,disposable
12bclass.us,disposable
12friday.space,disposable
12hosting.net,disposable
12houremail.com,disposable
12minutemail.com,disposable
12minutemail.net,disposable
12storage.com,disposable
130723.xyz,disposable
13282298.xyz,disposable
1337.care,disposable
13512863687.store,disposable
140unichars.com,disposable
142code.me,disposable
147.cl,disposable
14club.org.uk,disposable
14n.co.uk,disposable
151668.xyz,disposable
15553.eu.cc,disposable
15555.eu.cc,disposable
15557.eu.cc,disposable
15963.fr.nf,disposable
15qm.com,disposable
164109038.xyz,disposable
16816889.xyz,disposable
179297.xyz,disposable
17tb.io.vn,disposable
1820mail.vip,disposable
189.email,disposable
18t5b.shop,disposable
191117636.cfd,disposable
191mariobet.com,disposable
199411.store,disposable
1blackmoon.com,disposable
1ce.us,disposable
1chuan.com,disposable
1clck2.com,disposable
1fsdfdsfsdf.tk,disposable
1mail.ml,disposable
1nom.org,disposable
1pad.de,disposable
1pice.io.vn,disposable
1s.fr,disposable
1sec.site,disposable
1secmail.com,disposable
1secmail.net,disposable
1secmail.org,disposable
1secmail.space,disposable
1secmail.website,disposable
1st-forms.com,disposable
1sworld.com,disposable
1t-mail.com,disposable
1to1mail.org,disposable
1trick.net,disposable
1usemail.com,disposable
1webmail.info,disposable
1win.life,disposable
1xp.fr,disposable
1zhuan.com,disposable
2-b.icu,disposable
200192.indevs.in,disposable
20030310.com,disposable
2003066.xyz,disposable
2012-2016.ru,disposable
20253025.xyz,disposable
20260501.ccwu.cc,disposable
20260503.ccwu.cc,disposable
202608221.xyz,disposable
2048unblocked.com,disposable
20email.eu,disposable
20email.it,disposable
20mail.eu,disposable
20mail.in,disposable
20mail.it,disposable
20minutemail.com,disposable
20minutemail.it,disposable
20minutesmail.com,disposable
20mm.eu,disposable
2120001.net,disposable
216222.xyz,disposable
21cn.com,disposable
21mail.top,disposable
2200freefonts.com,disposable
22345377.xyz,disposable
2333.live,disposable
247chats.com,disposable
247web.net,disposable
24faw.com,disposable
24hinbox.com,disposable
24hourmail.com,disposable
24hourmail.net,disposable
24mail.top,disposable
25kcreditveo3.io.vn,disposable
25kg2gveo3.io.vn,disposable
25kmans.io.vn,disposable
25kmembers.io.vn,disposable
25kseller.io.vn,disposable
25kselll.io.vn,disposable
25kveo.io.vn,disposable
25kveo3.io.vn,disposable
25kvideo.io.vn,disposable
25u.com,disposable
264341.xyz,disposable
269966.xyz,disposable
2932919455.dynv6.net,disposable
2anom.com,disposable
2chmail.net,disposable
2ether.net,disposable
2fdgdfgdfgdf.tk,disposable
2likemobile.site,disposable
